datetime,timestamp,price,action,quantity,balance,networth,reward,done
2023-04-17 13:00:00+00:00,1681736400,29397.0,hold,0.027509491492879335,7402.804160733828,8211.500682150003,-3.4937054195943347,False
2023-04-17 14:00:00+00:00,1681740000,29436.0,hold,0.027509491492879335,7402.804160733828,8212.573552318225,1.0728701682219253,False
2023-04-17 15:00:00+00:00,1681743600,29360.1,hold,0.027509491492879335,7402.804160733828,8210.485581913916,-2.0879704043090896,False
2023-04-17 16:00:00+00:00,1681747200,29455.1,hold,0.027509491492879335,7402.804160733828,8213.098983605738,2.6134016918222187,False
2023-04-17 17:00:00+00:00,1681750800,29449.2,close_long,0.0,8213.098983605738,8213.098983605738,0.0,False
2023-04-17 18:00:00+00:00,1681754400,29525.0,hold,0.0,8213.098983605738,8213.098983605738,0.0,False
2023-04-17 19:00:00+00:00,1681758000,29463.5,buy,0.027817439402559655,7391.789085245164,8211.38821108248,-1.7107725232581288,False
2023-04-17 20:00:00+00:00,1681761600,29436.3,hold,0.027817439402559655,7391.789085245164,8210.63157673073,-0.7566343517501082,False
2023-04-17 21:00:00+00:00,1681765200,29444.5,close_long,0.0,8210.63157673073,8210.63157673073,0.0,False
2023-04-17 22:00:00+00:00,1681768800,29495.3,hold,0.0,8210.63157673073,8210.63157673073,0.0,False
2023-04-17 23:00:00+00:00,1681772400,29421.8,sell,0.02783708447356267,8210.63157673073,8212.677602439537,2.046025708807065,False
2023-04-18 00:00:00+00:00,1681776000,29359.3,hold,0.02783708447356267,8210.63157673073,8214.417420219133,1.7398177795967058,False
2023-04-18 01:00:00+00:00,1681779600,29366.7,hold,0.02783708447356267,8210.63157673073,8214.21142579403,-0.20599442510319932,False
2023-04-18 02:00:00+00:00,1681783200,29464.3,hold,0.02783708447356267,8210.63157673073,8211.49452634941,-2.7168994446201395,False
2023-04-18 03:00:00+00:00,1681786800,29435.7,close_short,0.0,8211.49452634941,8211.49452634941,0.0,False
2023-04-18 04:00:00+00:00,1681790400,29493.4,sell,0.027896379316100554,8211.49452634941,8209.88490526287,-1.6096210865398461,False
2023-04-18 05:00:00+00:00,1681794000,29544.0,hold,0.027896379316100554,8211.49452634941,8208.473348469477,-1.4115567933931743,False
2023-04-18 06:00:00+00:00,1681797600,29709.5,hold,0.027896379316100554,8211.49452634941,8203.856497692661,-4.616850776816136,False
2023-04-18 07:00:00+00:00,1681801200,29774.4,hold,0.027896379316100554,8211.49452634941,8202.046022675047,-1.8104750176134985,False
2023-04-18 08:00:00+00:00,1681804800,29700.0,close_short,0.0,8202.046022675047,8202.046022675047,0.0,False
2023-04-18 09:00:00+00:00,1681808400,29885.0,hold,0.0,8202.046022675047,8202.046022675047,0.0,False
2023-04-18 10:00:00+00:00,1681812000,29894.0,hold,0.0,8202.046022675047,8202.046022675047,0.0,False
2023-04-18 11:00:00+00:00,1681815600,30386.9,buy,0.027437097821218465,7381.8414204075425,8215.569768191126,13.523745516078634,False
2023-04-18 12:00:00+00:00,1681819200,30296.2,hold,0.027437097821218465,7381.8414204075425,8213.081223418742,-2.4885447723845573,False
2023-04-18 13:00:00+00:00,1681822800,30369.4,close_long,0.0,8213.081223418742,8213.081223418742,0.0,False
2023-04-18 14:00:00+00:00,1681826400,30237.3,sell,0.02704393640776157,8213.081223418742,8216.653727418206,3.5725039994649705,False
2023-04-18 15:00:00+00:00,1681830000,30174.9,close_short,0.0,8216.653727418206,8216.653727418206,0.0,False
2023-04-18 16:00:00+00:00,1681833600,30211.3,hold,0.0,8216.653727418206,8216.653727418206,0.0,False
2023-04-18 17:00:00+00:00,1681837200,30021.8,buy,0.027197286205552913,7394.988354676386,8211.499841682255,-5.153885735951917,False
2023-04-18 18:00:00+00:00,1681840800,30145.2,hold,0.027197286205552913,7394.988354676386,8214.85598680002,3.356145117764754,False
2023-04-18 19:00:00+00:00,1681844400,30223.2,hold,0.027197286205552913,7394.988354676386,8216.977375124052,2.121388324032523,False
2023-04-18 20:00:00+00:00,1681848000,30422.9,close_long,0.0,8216.977375124052,8216.977375124052,0.0,False
2023-04-18 21:00:00+00:00,1681851600,30380.2,sell,0.027009185104391927,8216.977375124052,8218.130667328009,1.1532922039568803,False
2023-04-18 22:00:00+00:00,1681855200,30365.4,close_short,0.0,8218.130667328009,8218.130667328009,0.0,False
2023-04-18 23:00:00+00:00,1681858800,30382.5,sell,0.027064127814315008,8218.130667328009,8217.667870742383,-0.46279658562525583,False
2023-04-19 00:00:00+00:00,1681862400,30317.5,close_short,0.0,8217.667870742383,8217.667870742383,0.0,False
2023-04-19 01:00:00+00:00,1681866000,30229.3,buy,0.0271053611634943,7395.901083668145,8215.277177887763,-2.3906928546202835,False
2023-04-19 02:00:00+00:00,1681869600,30193.1,close_long,0.0,8215.277177887763,8215.277177887763,0.0,False
2023-04-19 03:00:00+00:00,1681873200,30203.0,buy,0.02720912121606514,7393.749460098987,8215.546548187802,0.2693703000386449,False
2023-04-19 04:00:00+00:00,1681876800,30195.1,hold,0.02720912121606514,7393.749460098987,8215.331596130196,-0.21495205760584213,False
2023-04-19 05:00:00+00:00,1681880400,30260.6,hold,0.02720912121606514,7393.749460098987,8217.113793569848,1.782197439652009,False
2023-04-19 06:00:00+00:00,1681884000,29999.9,hold,0.02720912121606514,7393.749460098987,8210.020375668819,-7.09341790102917,False
2023-04-19 07:00:00+00:00,1681887600,30063.9,close_long,0.0,8210.020375668819,8210.020375668819,0.0,False
2023-04-19 08:00:00+00:00,1681891200,29156.9,sell,0.02730856733713463,8210.020375668819,8234.7892462436,24.76887057478052,False
2023-04-19 09:00:00+00:00,1681894800,29190.8,hold,0.02730856733713463,8210.020375668819,8233.86348581087,-0.9257604327285662,False
2023-04-19 10:00:00+00:00,1681898400,29244.4,hold,0.02730856733713463,8210.020375668819,8232.3997466016,-1.4637392092699884,False
2023-04-19 11:00:00+00:00,1681902000,29308.9,hold,0.02730856733713463,8210.020375668819,8230.638344008355,-1.7614025932452932,False
2023-04-19 12:00:00+00:00,1681905600,29215.4,hold,0.02730856733713463,8210.020375668819,8233.191695054378,2.5533510460227262,False
