datetime,timestamp,price,action,position_type,quantity,balance,networth,reward,reward_networth,reward_action,reward_market,done,trade_count,profitable_trades,win_rate,total_profit,max_drawdown
2020-04-07 17:00:00+00:00,1586278800,7346.0,hold,long,0.27438034087823177,8027.271252733547,10042.869236825038,-425.27952836128156,-425.28952836128155,0.01,0,False,51,30,0.5882352941176471,34.08906591693723,0.016831422186557258
2020-04-07 18:00:00+00:00,1586282400,7300.5,hold,long,0.27438034087823177,8027.271252733547,10030.384931315079,-1248.4105509959086,-1248.4305509959086,0.02,0,False,51,30,0.5882352941176471,34.08906591693723,0.01719436382725949
2020-04-07 19:00:00+00:00,1586286000,7281.0,hold,long,0.27438034087823177,8027.271252733547,10025.034514667952,-535.0116647126622,-535.0416647126622,0.030000000000000002,0,False,51,30,0.5882352941176471,34.08906591693723,0.017718612863829523
2020-04-07 20:00:00+00:00,1586289600,7121.0,close_long,None,0.0,10025.034514667952,10025.034514667952,-905.4551248981647,0.0,-905.4551248981647,0,False,52,30,0.5769230769230769,25.034514667955584,0.017718612863829523
2020-04-07 21:00:00+00:00,1586293200,7166.0,hold,None,0.0,10025.034514667952,10025.034514667952,0.0,0.0,0.0,0,False,52,30,0.5769230769230769,25.034514667955584,0.017718612863829523
2020-04-07 22:00:00+00:00,1586296800,7167.5,buy,long,0.2797944324495661,8020.027611734362,10025.454206316626,-158.5315254259175,41.96916486744158,-200.50069029335907,0,False,52,30,0.5769230769230769,25.034514667955584,0.017718612863829523
2020-04-07 23:00:00+00:00,1586300400,7198.5,hold,long,0.2797944324495661,8020.027611734362,10034.127833722563,867.3727405936713,867.3627405936713,0.01,0,False,52,30,0.5769230769230769,25.034514667955584,0.017718612863829523
2020-04-08 00:00:00+00:00,1586304000,7153.0,close_long,None,0.0,10034.127833722563,10034.127833722563,909.3319054610898,0.0,909.3319054610898,0,False,53,31,0.5849056603773585,34.12783372256648,0.017718612863829523
2020-04-08 01:00:00+00:00,1586307600,7165.0,hold,None,0.0,10034.127833722563,10034.127833722563,0.0,0.0,0.0,0,False,53,31,0.5849056603773585,34.12783372256648,0.017718612863829523
2020-04-08 02:00:00+00:00,1586311200,7261.0,hold,None,0.0,10034.127833722563,10034.127833722563,0.0,0.0,0.0,0,False,53,31,0.5849056603773585,34.12783372256648,0.017718612863829523
